Departure (Local),Arrival (Local),Duration,Origin,Destination,Train type,Train number,CO2,CO2 temp
2021-12-29 07:57,2021-12-29 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,5521,,
2021-12-29 13:51,2021-12-29 14:55,1:04,Montpellier St-Roch,Narbonne,TER,876417,,
2021-12-29 15:09,2021-12-29 16:42,1:33,Narbonne,Toulouse Matabiau,TER,876258,,
2022-02-19 10:46,2022-02-19 12:51,2:05,Toulouse Matabiau,Montpellier St-Roch,Intercités,4657,,
2022-02-19 15:08,2022-02-19 17:14,2:06,Montpellier St-Roch,Lyon Part-Dieu,TGV InOui,6873,,
2022-02-19 18:04,2022-02-19 21:02,2:58,Lyon Part-Dieu,Mulhouse,TGV InOui,9896,,
2022-02-20 14:33,2022-02-20 16:52,2:19,Basel SBB,Chur,IC,10575,,
2022-02-25 17:08,2022-02-25 18:22,1:14,Chur,Zürich HB,IC,580,,
2022-02-25 18:32,2022-02-25 20:40,2:08,Zürich HB,Lausanne,IC,730,,
2022-02-27 11:15,2022-02-27 12:57,1:42,Lausanne,Olten,IC,1521,,
2022-02-27 13:12,2022-02-27 13:45,0:33,Olten,Basel SBB,IR,2470,,
2022-02-28 07:14,2022-02-28 07:37,0:23,St-Louis,Mulhouse,TER,96104,,
2022-02-28 07:57,2022-02-28 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,5521,,
2022-02-28 13:07,2022-02-28 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,,
2022-03-26 08:28,2022-03-26 10:40,2:12,Toulouse Matabiau,Bordeaux St-Jean,TGV InOui,8504,,
2022-03-27 17:53,2022-03-27 18:30,0:37,Bordeaux St-Jean,Angoulême,TGV InOui,8442,,
2022-03-27 19:09,2022-03-27 19:54,0:45,Angoulême,Poitiers,TGV InOui,8450,,
2022-04-01 17:28,2022-04-01 18:44,1:16,Poitiers,Bordeaux St-Jean,TGV InOui,8447,,
2022-04-01 19:20,2022-04-01 21:31,2:11,Bordeaux St-Jean,Toulouse Matabiau,TGV InOui,8517,,
2022-04-18 07:30,2022-04-18 07:43,0:13,St-Louis,Mulhouse,TER,96210,,
2022-04-18 07:57,2022-04-18 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,5521,,
2022-04-18 13:07,2022-04-18 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,,
2022-04-25 10:08,2022-04-25 11:16,1:08,Toulouse Matabiau,Carcassonne,TER,870611,,
2022-04-25 17:28,2022-04-25 18:30,1:02,Carcassonne,Toulouse Matabiau,TER,876213,,
2022-04-29 08:46,2022-04-29 09:14,0:28,Toulouse,Castelnaudary,Intercités,4655,,
2022-04-29 13:31,2022-04-29 14:10,0:39,Castelnaudary,Montaudran,TER,870610,,
2022-04-30 08:46,2022-04-30 10:52,2:06,Toulouse Matabiau,Montpellier St-Roch,Intercités,4655,,
2022-04-30 19:07,2022-04-30 21:17,2:10,Montpellier St-Roch,Toulouse Matabiau,Intercités,4766,,
,,0:00,,,,,,
2022-07-13 08:28,2022-07-13 12:49,4:21,Toulouse Matabiau,Paris Montparnasse,TGV InOui,8504,,
2022-07-19 07:11,2022-07-19 11:29,4:18,Paris Montparnasse,Toulouse Matabiau,TGV InOui,8503,,
2022-07-31 07:44,2022-07-31 11:50,4:06,Toulouse Matabiau,Lyon Part-Dieu,TGV InOui,6871,,
2022-08-02 07:21,2022-08-02 08:59,1:38,Basel Badischer Bahnhof,Karlsruhe Hbf,ICE,202,,
2022-08-02 09:10,2022-08-02 10:22,1:12,Karlsruhe Hbf,Darmstadt Hbf,IC,2374,,
2022-08-02 11:30,2022-08-02 11:51,0:21,Darmstadt Hbf,Frankfurt (Main) Hbf,RB,67,,
2022-08-02 21:34,2022-08-02 21:53,0:19,Frankfurt (Main) Hbf,Darmstadt Hbf,RE,60,,
2022-08-03 06:53,2022-08-03 07:43,0:50,Darmstadt Hbf,Mannheim Hbf,RE,60,,
2022-08-03 10:31,2022-08-03 10:56,0:25,Mannheim Hbf,Speyer Hbf,S3,,,
2022-08-03 19:02,2022-08-03 19:26,0:24,Speyer Hbf,Mannheim Hbf,S3,,,
2022-08-03 21:17,2022-08-03 22:26,1:09,Mannheim Hbf,Darmstadt Hbf,RB,67,,
2022-08-05 07:38,2022-08-05 08:12,0:34,Darmstadt Hbf,Mainz Hbf,RB,75,,
2022-08-05 11:40,2022-08-05 11:49,0:09,Mainz-Kastel,Wiesbaden Hbf,S9,,,
2022-08-05 15:02,2022-08-05 15:46,0:44,Wiesbaden Hbf,Darmstadt Hbf,RB,75,,
2022-08-05 17:04,2022-08-05 20:19,3:15,Darmstadt Hbf,Basel Badischer Bahnhof,IC,1177,,
2022-08-09 07:30,2022-08-09 07:44,0:14,St-Louis,Mulhouse,TER,96210,,
2022-08-09 07:57,2022-08-09 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,5521,,
2022-08-09 13:07,2022-08-09 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,,
2022-08-17 10:46,2022-08-17 12:51,2:05,Toulouse Matabiau,Montpellier St-Roch,Intercités,4657,,
2022-08-17 13:58,2022-08-17 19:08,5:10,Montpellier St-Roch,Mulhouse,TGV InOui,5500,,
2022-08-17 19:16,2022-08-17 19:29,0:13,Mulhouse,St-Louis,TER,96281,,
2022-08-23 07:30,2022-08-23 07:44,0:14,St-Louis,Mulhouse,TER,96210,,
2022-08-23 07:57,2022-08-23 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,5521,,
2022-08-23 13:07,2022-08-23 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,,
2022-09-17 06:24,2022-09-17 10:56,4:32,Toulouse Matabiau,Paris Montparnasse,TGV InOui,8502,,
2022-09-22 22:12,2022-09-23 06:42,8:30,Paris Austerlitz,Toulouse Matabiau,Intercités de Nuit,3751,,
